timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,4
9,6
10,6
11,6
12,6
13,7
14,7
15,7
16,7
17,7
18,8
19,10
20,22
21,28
22,28
23,30
24,32
25,32
26,32
27,39
28,43
29,52
30,68
31,93
32,119
33,125
34,139
35,146
36,150
37,157
38,193
39,234
40,274
41,304
42,358
43,489
44,579
45,622
46,688
47,770
48,823
49,906
