timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,4
7,6
8,6
9,6
10,6
11,7
12,7
13,7
14,7
15,7
16,12
17,13
18,13
19,22
20,26
21,29
22,30
23,36
24,46
25,46
26,48
27,49
28,50
29,57
30,73
31,86
32,99
33,118
34,136
35,144
36,175
37,189
38,204
39,222
40,253
41,285
42,316
43,357
44,413
45,490
46,562
47,637
48,682
49,754
