timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,10
9,18
10,18
11,18
12,18
13,18
14,18
15,18
16,20
17,20
18,24
19,35
20,46
21,62
22,71
23,71
24,77
25,82
26,84
27,84
28,86
29,103
30,137
31,164
32,192
33,247
34,283
35,301
36,321
37,338
38,367
39,412
40,499
41,592
42,673
43,798
44,936
45,1044
46,1155
47,1299
48,1392
49,1520
