timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,3
11,6
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,10
21,21
22,23
23,24
24,24
25,26
26,27
27,31
28,37
29,45
30,55
31,57
32,62
33,70
34,78
35,94
36,101
37,118
38,136
39,154
40,180
41,206
42,218
43,244
44,282
45,303
46,341
47,385
48,441
49,505
