timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,3
12,11
13,11
14,11
15,12
16,12
17,12
18,12
19,12
20,12
21,17
22,28
23,43
24,51
25,56
26,60
27,61
28,63
29,70
30,88
31,113
32,137
33,164
34,182
35,207
36,239
37,260
38,288
39,324
40,366
41,398
42,460
43,542
44,648
45,736
46,849
47,956
48,1060
49,1154
