timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,6
9,7
10,7
11,11
12,11
13,11
14,11
15,11
16,14
17,15
18,17
19,19
20,22
21,31
22,32
23,35
24,42
25,49
26,55
27,55
28,56
29,67
30,83
31,100
32,106
33,127
34,146
35,163
36,176
37,194
38,209
39,227
40,267
41,303
42,345
43,423
44,509
45,583
46,646
47,705
48,780
49,851
