timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,11
12,16
13,16
14,16
15,16
16,16
17,16
18,16
19,23
20,25
21,28
22,52
23,63
24,70
25,70
26,72
27,72
28,75
29,91
30,98
31,133
32,163
33,199
34,236
35,249
36,270
37,291
38,312
39,351
40,417
41,467
42,546
43,672
44,782
45,921
46,1051
47,1167
48,1267
49,1382
