timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,9
19,9
20,10
21,10
22,15
23,16
24,17
25,17
26,19
27,22
28,26
29,39
30,46
31,54
32,55
33,58
34,61
35,62
36,64
37,83
38,105
39,120
40,137
41,160
42,174
43,201
44,220
45,236
46,256
47,295
48,331
49,364
