timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,5
8,5
9,5
10,9
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,16
19,23
20,27
21,45
22,52
23,53
24,54
25,56
26,63
27,74
28,80
29,85
30,96
31,114
32,150
33,176
34,196
35,213
36,268
37,304
38,331
39,370
40,437
41,475
42,521
43,614
44,726
45,854
46,978
47,1106
48,1213
49,1331
