timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,5
9,8
10,8
11,8
12,8
13,8
14,8
15,10
16,15
17,16
18,16
19,20
20,21
21,26
22,27
23,32
24,37
25,42
26,48
27,52
28,58
29,67
30,76
31,80
32,87
33,107
34,118
35,132
36,148
37,166
38,202
39,244
40,264
41,289
42,322
43,368
44,408
45,457
46,543
47,614
48,683
49,764
