timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,7
12,9
13,9
14,9
15,13
16,13
17,13
18,13
19,13
20,15
21,16
22,18
23,20
24,26
25,47
26,53
27,55
28,62
29,68
30,68
31,73
32,75
33,83
34,99
35,116
36,144
37,179
38,219
39,250
40,286
41,299
42,334
43,384
44,410
45,469
46,551
47,682
48,785
49,873
