timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,4
9,4
10,5
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,8
19,12
20,12
21,12
22,14
23,20
24,20
25,20
26,20
27,20
28,22
29,32
30,37
31,44
32,57
33,67
34,70
35,70
36,73
37,83
38,96
39,107
40,120
41,131
42,150
43,182
44,216
45,245
46,273
47,291
48,305
49,320
