timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,6
14,11
15,12
16,13
17,13
18,13
19,13
20,21
21,26
22,30
23,34
24,36
25,37
26,37
27,39
28,44
29,48
30,61
31,72
32,88
33,98
34,115
35,123
36,132
37,141
38,157
39,179
40,214
41,253
42,282
43,319
44,348
45,371
46,435
47,495
48,530
49,584
