timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,5
10,13
11,13
12,13
13,15
14,15
15,15
16,15
17,15
18,19
19,29
20,35
21,35
22,39
23,50
24,58
25,72
26,81
27,84
28,88
29,99
30,119
31,137
32,154
33,188
34,227
35,251
36,278
37,328
38,348
39,384
40,441
41,496
42,555
43,687
44,804
45,883
46,992
47,1142
48,1259
49,1369
