timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,6
10,10
11,10
12,10
13,10
14,11
15,11
16,11
17,13
18,14
19,20
20,23
21,28
22,33
23,39
24,39
25,43
26,44
27,45
28,54
29,70
30,80
31,98
32,106
33,121
34,127
35,138
36,152
37,179
38,204
39,227
40,286
41,314
42,340
43,391
44,445
45,493
46,563
47,640
48,710
49,768
