timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,15
19,23
20,25
21,28
22,36
23,36
24,39
25,39
26,39
27,41
28,56
29,73
30,91
31,108
32,130
33,141
34,153
35,163
36,193
37,214
38,235
39,284
40,338
41,386
42,456
43,556
44,667
45,736
46,809
47,870
48,928
49,1041
