timestep,cases
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,5
11,8
12,8
13,8
14,11
15,11
16,11
17,11
18,14
19,17
20,17
21,17
22,26
23,28
24,28
25,40
26,48
27,56
28,64
29,71
30,75
31,84
32,94
33,107
34,117
35,133
36,158
37,213
38,230
39,256
40,278
41,308
42,351
43,434
44,523
45,584
46,654
47,783
48,886
49,968
